Domain,Type,Sponsoring Organisation ,Date
.haus,generic,"United TLD Holdco, LTD.",2023-06-08
.healthcare,generic,"Silver Glen, LLC",2023-06-08
.help,generic,"Uniregistry, Corp.",2023-06-08
.here,generic,Charleston Road Registry Inc.,2023-06-08
.hermes,generic,Hermes International,2023-06-08
.hiphop,generic,"Uniregistry, Corp.",2023-06-08
.hiv,generic,dotHIV gemeinnuetziger e.V.,2023-06-08
.holdings,generic,"John Madison, LLC",2023-06-08
.holiday,generic,"Goose Woods, LLC",2023-06-08
.homes,generic,"DERHomes, LLC",2023-06-08
.horse,generic,Top Level Domain Holdings Limited,2023-06-08
.host,generic,DotHost Inc.,2023-06-08
.hosting,generic,"Uniregistry, Corp.",2023-06-08
.house,generic,"Sugar Park, LLC",2023-06-08
.how,generic,Charleston Road Registry Inc.,2023-06-08
.ibm,generic,International Business Machines Corporation,2023-06-08
.ifm,generic,ifm electronic gmbh,2023-06-08
.immo,generic,"Auburn Bloom, LLC",2023-06-08
.immobilien,generic,United TLD Holdco Ltd.,2023-06-08
.industries,generic,"Outer House, LLC",2023-06-08
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2023-06-08
.info,generic,Afilias Limited,2023-06-08
.ing,generic,Charleston Road Registry Inc.,2023-06-08
.ink,generic,"Top Level Design, LLC",2023-06-08
.institute,generic,"Outer Maple, LLC",2023-06-08
.insure,generic,"Pioneer Willow, LLC",2023-06-08
.international,generic,"Wild Way, LLC",2023-06-08
.investments,generic,"Holly Glen, LLC",2023-06-08
.irish,generic,Dot-Irish LLC,2023-06-08
.iwc,generic,Richemont DNS Inc.,2023-06-08
.java,generic,Oracle Corporation,2023-06-08
.jcb,generic,"JCB Co., Ltd.",2023-06-08
.jetzt,generic,New TLD Company AB,2023-06-08
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-06-08
.juegos,generic,"Uniregistry, Corp.",2023-06-08
.kaufen,generic,United TLD Holdco Ltd.,2023-06-08
.kddi,generic,KDDI CORPORATION,2023-06-08
.kim,generic,Afilias Limited,2023-06-08
.kitchen,generic,"Just Goodbye, LLC",2023-06-08
.kiwi,generic,DOT KIWI LIMITED,2023-06-08
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2023-06-08
.komatsu,generic,Komatsu Ltd.,2023-06-08
.krd,generic,KRG Department of Information Technology,2023-06-08
.kred,generic,KredTLD Pty Ltd,2023-06-08
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2023-06-08
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2023-06-08
.land,generic,"Pine Moon, LLC",2023-06-08
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2023-06-08
.latrobe,generic,La Trobe University,2023-06-08
.lawyer,generic,"United TLD Holdco, Ltd",2023-06-08
.lds,generic,"IRI Domain Management, LLC",2023-06-08
.lease,generic,"Victor Trail, LLC",2023-06-08
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2023-06-08
.legal,generic,"Blue Falls, LLC",2023-06-08
.lgbt,generic,Afilias Limited,2023-06-08
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2023-06-08
.life,generic,"Trixy Oaks, LLC",2023-06-08
.lighting,generic,"John McCook, LLC",2023-06-08
.limited,generic,"Big Fest, LLC",2023-06-08
.limo,generic,"Hidden Frostbite, LLC",2023-06-08
.link,generic,"Uniregistry, Corp.",2023-06-08
.loan,generic,dot Loan Limited,2023-06-08
.loans,generic,"June Woods, LLC",2023-06-08
.london,generic,Dot London Domains Limited,2023-06-08
.lotte,generic,"Lotte Holdings Co., Ltd.",2023-06-08
.lotto,generic,Afilias Limited,2023-06-08
.love,generic,Merchant Law Group LLP,2023-06-08
.ltda,generic,InterNetX Corp.,2023-06-08
.luxe,generic,Top Level Domain Holdings Limited,2023-06-08
.luxury,generic,Luxury Partners LLC,2023-06-08
.madrid,generic,Comunidad de Madrid,2023-06-08
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2023-06-08
.maison,generic,"Victor Frostbite, LLC",2023-06-08
.management,generic,"John Goodbye, LLC",2023-06-08
.mango,generic,PUNTO FA S.L.,2023-06-08
.market,generic,"Unitied TLD Holdco, Ltd",2023-06-08
.marketing,generic,"Fern Pass, LLC",2023-06-08
.markets,generic,DOTMARKETS REGISTRY LTD,2023-06-08
.marriott,generic,Marriott Worldwide Corporation,2023-06-08
.media,generic,"Grand Glen, LLC",2023-06-08
.meet,generic,Afilias Limited,2023-06-08
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2023-06-08
.meme,generic,Charleston Road Registry Inc.,2023-06-08
.memorial,generic,"Dog Beach, LLC",2023-06-08
.menu,generic,"Wedding TLD2, LLC",2023-06-08
.miami,generic,Top Level Domain Holdings Limited,2023-06-08
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2023-06-08
.mma,generic,MMA IARD,2023-06-08
.moda,generic,United TLD Holdco Ltd.,2023-06-08
.moe,generic,"Interlink Co., Ltd.",2023-06-08
.monash,generic,Monash University,2023-06-08
.money,generic,"Outer McCook, LLC",2023-06-08
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2023-06-08
.mortgage,generic,"United TLD Holdco, Ltd",2023-06-08
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-06-08
.motorcycles,generic,"DERMotorcycles, LLC",2023-06-08
.mov,generic,Charleston Road Registry Inc.,2023-06-08
.movie,generic,"New Frostbite, LLC",2023-06-08
.mtn,generic,MTN Dubai Limited,2023-06-08
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2023-06-08
.nagoya,generic,"GMO Registry, Inc.",2023-06-08
.navy,generic,United TLD Holdco Ltd.,2023-06-08
.net,generic,VeriSign Global Registry Services,2023-06-08
.network,generic,"Trixy Manor, LLC",2023-06-08
.neustar,generic,"NeuStar, Inc.",2023-06-08
.new,generic,Charleston Road Registry Inc.,2023-06-08
.news,generic,United TLD Holdco Ltd.,2023-06-08
.nexus,generic,Charleston Road Registry Inc.,2023-06-08
.ngo,generic,Public Interest Registry,2023-06-08
.nhk,generic,Japan Broadcasting Corporation (NHK),2023-06-08
.nico,generic,"DWANGO Co., Ltd.",2023-06-08
.ninja,generic,United TLD Holdco Ltd.,2023-06-08
.nissan,generic,"NISSAN MOTOR CO., LTD.",2023-06-08
.nra,generic,"NRA Holdings Company, INC.",2023-06-08
.nrw,generic,Minds + Machines GmbH,2023-06-08
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2023-06-08
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2023-06-08
.okinawa,generic,BusinessRalliart inc.,2023-06-08
.one,generic,One.com A/S,2023-06-08
.ong,generic,Public Interest Registry,2023-06-08
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2023-06-08
.online,generic,DotOnline Inc.,2023-06-08
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2023-06-08
.org,generic,Public Interest Registry (PIR),2023-06-08
.organic,generic,Afilias Limited,2023-06-08
.osaka,generic,"Interlink Co., Ltd.",2023-06-08
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2023-06-08
.ovh,generic,OVH SAS,2023-06-08
.page,generic,Charleston Road Registry Inc.,2023-06-08
.panerai,generic,Richemont DNS Inc.,2023-06-08
.paris,generic,City of Paris,2023-06-08
.partners,generic,"Magic Glen, LLC",2023-06-08
.parts,generic,"Sea Goodbye, LLC",2023-06-08
.party,generic,Blue Sky Registry Limited,2023-06-08
.pharmacy,generic,National Association of Boards of Pharmacy,2023-06-08
.photo,generic,"Uniregistry, Corp.",2023-06-08
.photography,generic,"Sugar Glen, LLC",2023-06-08
.photos,generic,"Sea Corner, LLC",2023-06-08
.physio,generic,PhysBiz Pty Ltd,2023-06-08
.piaget,generic,Richemont DNS Inc.,2023-06-08
.pics,generic,"Uniregistry, Corp.",2023-06-08
.pictet,generic,Pictet Europe S.A.,2023-06-08
.pictures,generic,"Foggy Sky, LLC",2023-06-08
.pink,generic,Afilias Limited,2023-06-08
.pizza,generic,"Foggy Moon, LLC",2023-06-08
.place,generic,"Snow Galley, LLC",2023-06-08
.plumbing,generic,"Spring Tigers, LLC",2023-06-08
.plus,generic,"Sugar Mill, LLC",2023-06-08
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-06-08
.poker,generic,Afilias Domains No. 5 Limited,2023-06-08
.porn,generic,ICM Registry PN LLC,2023-06-08
.praxi,generic,Praxi S.p.A.,2023-06-08
.press,generic,DotPress Inc.,2023-06-08
.prod,generic,Charleston Road Registry Inc.,2023-06-08
.productions,generic,"Magic Birch, LLC",2023-06-08
.prof,generic,Charleston Road Registry Inc.,2023-06-08
.properties,generic,"Big Pass, LLC",2023-06-08
.property,generic,"Uniregistry, Corp.",2023-06-08
.pub,generic,United TLD Holdco Ltd.,2023-06-08
.qpon,generic,"dotCOOL, Inc.",2023-06-08
.quebec,generic,PointQuébec Inc,2023-06-08
.racing,generic,Premier Registry Limited,2023-06-08
.realtor,generic,Real Estate Domains LLC,2023-06-08
.recipes,generic,"Grand Island, LLC",2023-06-08
.red,generic,Afilias Limited,2023-06-08
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2023-06-08
.rehab,generic,United TLD Holdco Ltd.,2023-06-08
.reise,generic,dotreise GmbH,2023-06-08
.reisen,generic,"New Cypress, LLC",2023-06-08
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2023-06-08
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2023-06-08
.rentals,generic,"Big Hollow,LLC",2023-06-08
.repair,generic,"Lone Sunset, LLC",2023-06-08
.report,generic,"Binky Glen, LLC",2023-06-08
.republican,generic,United TLD Holdco Ltd.,2023-06-08
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2023-06-08
.restaurant,generic,"Snow Avenue, LLC",2023-06-08
.review,generic,dot Review Limited,2023-06-08
.reviews,generic,"United TLD Holdco, Ltd.",2023-06-08
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2023-06-08
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2023-06-08
.rip,generic,United TLD Holdco Ltd.,2023-06-08
.rocks,generic,"United TLD Holdco, LTD.",2023-06-08
.rodeo,generic,Top Level Domain Holdings Limited,2023-06-08
.rsvp,generic,Charleston Road Registry Inc.,2023-06-08
.ruhr,generic,regiodot GmbH & Co. KG,2023-06-08
.ryukyu,generic,BusinessRalliart inc.,2023-06-08
.saarland,generic,dotSaarland GmbH,2023-06-08
.sale,generic,"United TLD Holdco, Ltd",2023-06-08
.samsung,generic,"SAMSUNG SDS CO., LTD",2023-06-08
.sap,generic,SAP AG,2023-06-08
.sarl,generic,"Delta Orchard, LLC",2023-06-08
.saxo,generic,Saxo Bank A/S,2023-06-08
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2023-06-08
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2023-06-08
.schmidt,generic,SALM S.A.S.,2023-06-08
.scholarships,generic,"Scholarships.com, LLC",2023-06-08
.school,generic,"Little Galley, LLC",2023-06-08
.schule,generic,"Outer Moon, LLC",2023-06-08
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2023-06-08
.science,generic,dot Science Limited,2023-06-08
.scot,generic,Dot Scot Registry Limited,2023-06-08
.services,generic,"Fox Castle, LLC",2023-06-08
